Nombre,Lichess,Bullet,Bullet_Games,Blitz,Blitz_Games,Rapid,Rapid_Games,Classical,Classical_Games,Puzzle_Rating,Puzzles_Played,Storm,Storm_Attempts,Streak,Streak_Attempts,Racer,Racer_Attempts
1,NathChess8,891,5,715,3,1001,2,0,0,1001,64,5,11,4,8,7,30
2,Nutella0102,588,13,899,5,0,0,895,2,797,21,0,0,0,0,0,0
3,Liam987r8403,800,1,926,5,0,0,0,0,0,0,0,0,0,0,0,0
5,Kyara_422,1021,2,0,0,0,0,0,0,1262,1,0,0,0,0,0,0
6,QuetzalliEducares,480,21,583,25,0,0,0,0,1131,2,0,0,0,0,0,0
7,VickyRV24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Nestebansm,909,7,639,8,1023,2,0,0,1036,5,0,0,0,0,0,0
10,AlissonKailaniS,0,0,1303,3,1135,2,0,0,0,0,0,0,0,0,0,0
11,Zasu0708,936,2,937,2,0,0,0,0,1209,2,0,0,0,0,0,0
13,Geniomate22,840,5,582,22,1027,3,1127,2,970,3,0,0,0,0,0,0
14,Regina_Aimee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,mateocamargo11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,XimenaTrujillo,0,0,0,0,0,0,0,0,959,5,0,0,0,0,0,0
20,teohdez,751,12,1189,2,0,0,0,0,891,13,0,0,0,0,0,0
21,Mikelmolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Neithan_01,652,20,849,7,1105,1,0,0,0,0,0,0,0,0,0,0
27,PaoNatAjedrez,860,6,491,21,400,20,0,0,1087,2,0,0,0,0,0,0
28,Sebas-24,711,12,545,38,605,10,0,0,1261,1,0,0,0,0,0,0
29,JulyIsa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,JorgeLa,0,0,0,0,0,0,0,0,1043,6,0,0,0,0,11,7
32,Dianitahehe,615,2,978,3,0,0,0,0,0,0,0,0,0,0,0,0
34,RubeRodriNetza,638,10,873,4,0,0,0,0,807,26,0,0,0,0,0,0
35,ReginaFlorencia,0,0,853,3,784,10,0,0,1254,1,0,0,0,0,0,0
36,kar02-edu25,1287,3,0,0,0,0,0,0,1015,4,0,0,0,0,0,0
37,Elisa_08,728,26,420,17,1125,2,0,0,908,27,0,0,2,12,0,0
38,Daniel_1225,698,15,895,3,824,1,0,0,1039,21,0,0,3,19,1,1
39,Fer-Vega,705,26,1179,4,0,0,1254,1,794,16,0,0,0,0,0,0
40,Erickvic,611,18,690,9,0,0,0,0,0,0,0,0,0,0,0,0
41,Kileab89,1035,9,625,14,0,0,0,0,0,0,0,0,0,0,0,0
42,Emyr211602,855,6,523,25,950,3,0,0,1277,1,0,0,0,0,0,0
45,KarlaPaolaCH,1084,2,680,20,502,20,0,0,1010,3,0,0,0,0,0,0
46,MarlenePrincess,1076,2,849,3,0,0,0,0,0,0,0,0,0,0,0,0
47,SantiagoAntonio-9,1401,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Dani0909_Cruz,1224,2,608,8,0,0,0,0,1148,3,0,0,0,0,0,0
51,Escamilla17,0,0,1087,3,0,0,0,0,1163,2,0,0,0,0,0,0
53,Dannitaaa,0,0,611,10,1145,6,0,0,0,0,0,0,0,0,0,0
56,Linazadri1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,TaisiaLLM,786,11,1197,2,780,6,0,0,1461,4,0,0,0,0,0,0
59,Ponyo16,814,4,714,7,891,5,0,0,1060,32,0,0,0,0,8,2
62,EARG_22ARLETH,573,10,0,0,0,0,0,0,1054,5,0,0,0,0,0,0
63,ElisSan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Ilian-Yunito,592,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,KassAxolotl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Aitana64822,1143,1,837,6,1160,2,0,0,869,33,0,0,0,0,0,0
70,Emily-Jazmin,549,16,539,5,0,0,0,0,0,0,0,0,0,0,0,0
71,fridacid_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,AmyBurbuja,534,21,735,31,835,19,1149,6,1801,1012,17,23,15,509,19,65
75,MVFP,757,18,0,0,1185,1,0,0,1274,1,0,0,0,0,0,0
76,Brrbrrpatatim,1404,1,0,0,512,3,1067,2,1018,64,4,1,3,1,8,8
77,yiye2015,0,0,1255,1,0,0,0,0,961,4,0,0,0,0,0,0
78,Vic_Gemininiano,767,2,0,0,1036,4,0,0,1019,7,0,0,0,0,0,0
79,Mich_25601,762,8,918,7,0,0,0,0,0,0,0,0,0,0,0,0
80,HelloKittyD,1037,26,923,39,955,40,1179,19,1330,551,13,20,16,116,19,33
81,Paquito238,1028,3,1250,1,0,0,0,0,1292,1,0,0,2,6,9,6
83,San_davidg,0,0,0,0,1127,2,0,0,0,0,0,0,0,0,0,0
84,VegaStarValentina,806,36,695,31,795,23,813,2,1133,308,7,14,11,55,13,47
86,EspiaPatos3000,0,0,0,0,0,0,0,0,694,93,0,0,0,0,0,0
88,Danielabarzat,1219,1,0,0,509,22,0,0,0,0,0,0,0,0,0,0
89,Jimenabarzat,1039,2,1167,2,616,19,1062,2,1030,8,0,0,0,0,0,0
90,Hermoony,1003,12,1176,4,1245,4,0,0,861,852,5,1,0,0,17,34
91,ShaChess007,708,24,518,23,1083,21,1246,3,1249,363,13,17,11,33,20,29
95,matchessbg,844,24,916,27,996,39,1221,2,1401,610,9,12,20,89,18,17
99,MartiSebas,0,0,0,0,957,6,0,0,1174,19,0,0,0,0,0,0
101,Lucyrom,0,0,1091,1,720,6,0,0,971,17,0,0,0,0,0,0
105,ximevega1234,0,0,556,8,0,0,0,0,1292,2,0,0,0,0,0,0
